grade,dependency_status,locality,locality_code,monthly_rate
E-1,without_dependents,Clarksville TN,CLARKSVILLE_TN,1116.00
E-1,with_dependents,Clarksville TN,CLARKSVILLE_TN,1374.00
E-2,without_dependents,Clarksville TN,CLARKSVILLE_TN,1116.00
E-2,with_dependents,Clarksville TN,CLARKSVILLE_TN,1374.00
E-3,without_dependents,Clarksville TN,CLARKSVILLE_TN,1116.00
E-3,with_dependents,Clarksville TN,CLARKSVILLE_TN,1374.00
E-4,without_dependents,Clarksville TN,CLARKSVILLE_TN,1116.00
E-4,with_dependents,Clarksville TN,CLARKSVILLE_TN,1374.00
E-5,without_dependents,Clarksville TN,CLARKSVILLE_TN,1269.00
E-5,with_dependents,Clarksville TN,CLARKSVILLE_TN,1503.00
E-6,without_dependents,Clarksville TN,CLARKSVILLE_TN,1362.00
E-6,with_dependents,Clarksville TN,CLARKSVILLE_TN,1617.00
E-7,without_dependents,Clarksville TN,CLARKSVILLE_TN,1500.00
E-7,with_dependents,Clarksville TN,CLARKSVILLE_TN,1776.00
E-8,without_dependents,Clarksville TN,CLARKSVILLE_TN,1623.00
E-8,with_dependents,Clarksville TN,CLARKSVILLE_TN,1899.00
E-9,without_dependents,Clarksville TN,CLARKSVILLE_TN,1722.00
E-9,with_dependents,Clarksville TN,CLARKSVILLE_TN,2025.00
O-1,without_dependents,Clarksville TN,CLARKSVILLE_TN,1374.00
O-1,with_dependents,Clarksville TN,CLARKSVILLE_TN,1617.00
O-2,without_dependents,Clarksville TN,CLARKSVILLE_TN,1503.00
O-2,with_dependents,Clarksville TN,CLARKSVILLE_TN,1776.00
O-3,without_dependents,Clarksville TN,CLARKSVILLE_TN,1776.00
O-3,with_dependents,Clarksville TN,CLARKSVILLE_TN,2091.00
O-4,without_dependents,Clarksville TN,CLARKSVILLE_TN,1992.00
O-4,with_dependents,Clarksville TN,CLARKSVILLE_TN,2334.00
O-5,without_dependents,Clarksville TN,CLARKSVILLE_TN,2145.00
O-5,with_dependents,Clarksville TN,CLARKSVILLE_TN,2523.00
O-6,without_dependents,Clarksville TN,CLARKSVILLE_TN,2376.00
O-6,with_dependents,Clarksville TN,CLARKSVILLE_TN,2784.00
E-1,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1200.00
E-1,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1479.00
E-2,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1200.00
E-2,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1479.00
E-3,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1200.00
E-3,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1479.00
E-4,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1200.00
E-4,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1479.00
E-5,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1362.00
E-5,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1617.00
E-6,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1461.00
E-6,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1740.00
E-7,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1608.00
E-7,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1911.00
E-8,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1743.00
E-8,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,2043.00
E-9,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1848.00
E-9,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,2178.00
O-1,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1479.00
O-1,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1740.00
O-2,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1617.00
O-2,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,1911.00
O-3,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,1911.00
O-3,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,2250.00
O-4,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,2142.00
O-4,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,2511.00
O-5,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,2307.00
O-5,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,2712.00
O-6,without_dependents,Fayetteville NC,FAYETTEVILLE_NC,2556.00
O-6,with_dependents,Fayetteville NC,FAYETTEVILLE_NC,2994.00
E-1,without_dependents,Killeen TX,KILLEEN_TX,1074.00
E-1,with_dependents,Killeen TX,KILLEEN_TX,1323.00
E-2,without_dependents,Killeen TX,KILLEEN_TX,1074.00
E-2,with_dependents,Killeen TX,KILLEEN_TX,1323.00
E-3,without_dependents,Killeen TX,KILLEEN_TX,1074.00
E-3,with_dependents,Killeen TX,KILLEEN_TX,1323.00
E-4,without_dependents,Killeen TX,KILLEEN_TX,1074.00
E-4,with_dependents,Killeen TX,KILLEEN_TX,1323.00
E-5,without_dependents,Killeen TX,KILLEEN_TX,1221.00
E-5,with_dependents,Killeen TX,KILLEEN_TX,1449.00
E-6,without_dependents,Killeen TX,KILLEEN_TX,1308.00
E-6,with_dependents,Killeen TX,KILLEEN_TX,1557.00
E-7,without_dependents,Killeen TX,KILLEEN_TX,1440.00
E-7,with_dependents,Killeen TX,KILLEEN_TX,1710.00
E-8,without_dependents,Killeen TX,KILLEEN_TX,1560.00
E-8,with_dependents,Killeen TX,KILLEEN_TX,1830.00
E-9,without_dependents,Killeen TX,KILLEEN_TX,1653.00
E-9,with_dependents,Killeen TX,KILLEEN_TX,1950.00
O-1,without_dependents,Killeen TX,KILLEEN_TX,1323.00
O-1,with_dependents,Killeen TX,KILLEEN_TX,1557.00
O-2,without_dependents,Killeen TX,KILLEEN_TX,1449.00
O-2,with_dependents,Killeen TX,KILLEEN_TX,1710.00
O-3,without_dependents,Killeen TX,KILLEEN_TX,1710.00
O-3,with_dependents,Killeen TX,KILLEEN_TX,2013.00
O-4,without_dependents,Killeen TX,KILLEEN_TX,1917.00
O-4,with_dependents,Killeen TX,KILLEEN_TX,2250.00
O-5,without_dependents,Killeen TX,KILLEEN_TX,2064.00
O-5,with_dependents,Killeen TX,KILLEEN_TX,2427.00
O-6,without_dependents,Killeen TX,KILLEEN_TX,2289.00
O-6,with_dependents,Killeen TX,KILLEEN_TX,2682.00
E-1,without_dependents,Olympia WA,OLYMPIA_WA,1479.00
E-1,with_dependents,Olympia WA,OLYMPIA_WA,1824.00
E-2,without_dependents,Olympia WA,OLYMPIA_WA,1479.00
E-2,with_dependents,Olympia WA,OLYMPIA_WA,1824.00
E-3,without_dependents,Olympia WA,OLYMPIA_WA,1479.00
E-3,with_dependents,Olympia WA,OLYMPIA_WA,1824.00
E-4,without_dependents,Olympia WA,OLYMPIA_WA,1479.00
E-4,with_dependents,Olympia WA,OLYMPIA_WA,1824.00
E-5,without_dependents,Olympia WA,OLYMPIA_WA,1677.00
E-5,with_dependents,Olympia WA,OLYMPIA_WA,1995.00
E-6,without_dependents,Olympia WA,OLYMPIA_WA,1800.00
E-6,with_dependents,Olympia WA,OLYMPIA_WA,2139.00
E-7,without_dependents,Olympia WA,OLYMPIA_WA,1980.00
E-7,with_dependents,Olympia WA,OLYMPIA_WA,2352.00
E-8,without_dependents,Olympia WA,OLYMPIA_WA,2145.00
E-8,with_dependents,Olympia WA,OLYMPIA_WA,2520.00
E-9,without_dependents,Olympia WA,OLYMPIA_WA,2274.00
E-9,with_dependents,Olympia WA,OLYMPIA_WA,2676.00
O-1,without_dependents,Olympia WA,OLYMPIA_WA,1824.00
O-1,with_dependents,Olympia WA,OLYMPIA_WA,2139.00
O-2,without_dependents,Olympia WA,OLYMPIA_WA,1995.00
O-2,with_dependents,Olympia WA,OLYMPIA_WA,2352.00
O-3,without_dependents,Olympia WA,OLYMPIA_WA,2352.00
O-3,with_dependents,Olympia WA,OLYMPIA_WA,2769.00
O-4,without_dependents,Olympia WA,OLYMPIA_WA,2637.00
O-4,with_dependents,Olympia WA,OLYMPIA_WA,3093.00
O-5,without_dependents,Olympia WA,OLYMPIA_WA,2838.00
O-5,with_dependents,Olympia WA,OLYMPIA_WA,3336.00
O-6,without_dependents,Olympia WA,OLYMPIA_WA,3147.00
O-6,with_dependents,Olympia WA,OLYMPIA_WA,3684.00
E-1,without_dependents,Washington DC,WASHINGTON_DC,2097.00
E-1,with_dependents,Washington DC,WASHINGTON_DC,2601.00
E-2,without_dependents,Washington DC,WASHINGTON_DC,2097.00
E-2,with_dependents,Washington DC,WASHINGTON_DC,2601.00
E-3,without_dependents,Washington DC,WASHINGTON_DC,2097.00
